X,Y,Z,Latitude,Longitude,Altitude
-2418305.7401309153,5385840.114242775,2405807.9203651375,22.305607774852458,114.18064271599866,138.22925681713969
-2418310.707944759,5385844.030502213,2405807.815116041,22.305587675919206,114.18067112945447,143.37724530417472
-2418328.0750213997,5385858.23089565,2405809.4703970407,22.305532722296356,114.18076843493161,162.57210730947554
-2418310.557709588,5385841.881332869,2405808.3897027164,22.305599407207577,114.18067834283652,141.7245024489239
-2418309.4888057737,5385838.400177978,2405808.8455008934,22.30561560058363,114.18068271794372,138.55434000585228
-2418311.6080032988,5385835.909136342,2405807.8017514055,22.305611693964632,114.1807113823228,136.8588606789708
-2418316.635354969,5385840.748583857,2405809.8000281877,22.30560619917267,114.18073665292519,143.6069681569934
-2418315.858013276,5385839.779119432,2405810.4561524196,22.30561580348609,114.18073362475789,142.7431880189106
-2418318.3392252233,5385840.85141663,2405810.6112121465,22.305610262691065,114.18075132898419,144.64734956342727
-2418317.305028292,5385842.230116104,2405811.0867669154,22.305611376937502,114.18073669227758,145.59953616932034
-2418313.2888699486,5385849.985098234,2405814.44160066,22.305620796229313,114.18067030820488,151.89604311157018
-2418311.8052968658,5385846.525926018,2405813.8830142547,22.305629028168195,114.18067092473024,148.20228277239949
-2418309.9176503597,5385841.175365725,2405814.7851662864,22.30565594529668,114.18067548259376,143.31348808389157
-2418308.9435163727,5385837.293923791,2405813.518172492,22.305658863845107,114.18068228796307,139.1875195261091
-2418305.751087077,5385835.915019855,2405813.9288667734,22.305671088544567,114.18065950590596,136.96979010198265
-2418308.9101424892,5385831.791983451,2405812.9684003615,22.305671520670945,114.18070386405712,134.3225920908153
-2418303.4173892443,5385823.983358251,2405810.3123774505,22.305681457534153,114.18068627624888,124.6424959199503
-2418299.728355644,5385822.824210718,2405811.5284777344,22.30570042128835,114.18065822395256,122.72773537226021
-2418294.5576234083,5385816.467270172,2405811.6156129176,22.305728285354643,114.18063771618397,115.43605302646756
-2418293.2144974433,5385813.966578629,2405812.5747411433,22.305746003361318,114.18063576591477,113.18051932193339
-2418291.6928961966,5385810.019572453,2405814.9166097194,22.305780046658125,114.18063798501093,110.16148550342768
-2418285.83752067,5385809.153871073,2405812.1066812132,22.305767498016888,114.18058958669403,106.14535662624985
-2418285.393617511,5385805.1330361385,2405811.0770419156,22.305772091121874,114.18060164049884,102.1927663963288
-2418283.1826298567,5385804.121299444,2405811.7420892343,22.30578391502091,114.18058608773464,100.75340007431805
-2418282.1601316594,5385799.832217993,2405810.4965019086,22.305788355022024,114.18059408538211,96.27318173181266
-2418281.207723238,5385791.614928234,2405806.9296004726,22.305785585287403,114.18061831924327,87.62308007385582
-2418282.194038028,5385799.821733337,2405811.6358431512,22.305797859101673,114.18059442724699,96.70961862523109
-2418282.34554543,5385799.875316529,2405812.4476254615,22.30580426107761,114.18059555559108,97.1203701812774
-2418280.175547909,5385801.618300372,2405813.8829133688,22.305813849184887,114.18056941499032,98.31385590042919
-2418279.24763976,5385811.308208439,2405819.6153516946,22.305832746653614,114.1805226800919,108.3162046726793
-2418287.00706429,5385822.772933386,2405821.922812614,22.305805283323885,114.18054580197945,121.80871322285384
-2418278.3941810657,5385794.414628925,2405833.27576281,22.306000896591176,114.18058228033145,98.91950616147369
-2418273.0400252603,5385798.632381332,2405815.6042772965,22.30584758504008,114.1805181112991,93.74300213437527
-2418274.6080102893,5385799.467491959,2405817.6868331158,22.305860171645474,114.180528673495,95.83247431647032
-2418272.6115976623,5385787.040553293,2405812.8313879035,22.305861265016027,114.1805603987606,82.74473807401955
-2418269.295357097,5385786.29629561,2405809.7667742847,22.305842643938142,114.1805339973803,79.6966812973842
-2418268.6251219492,5385803.884000304,2405817.8328798767,22.305855982040004,114.1804581479988,97.34813753794879
-2418268.499393706,5385806.161886928,2405819.569343792,22.30586354376975,114.18044797973816,99.88209562934935
-2418265.780429986,5385804.7313239,2405818.742330753,22.30586492467179,114.18042959453606,97.33043161127716
-2418248.372309309,5385762.468805552,2405797.693823138,22.305845656237146,114.18044347728012,47.07504556886852
-2418262.575654788,5385796.58375587,2405818.9703042707,22.305896804497173,114.18043360992888,89.32595812808722
-2418260.507192875,5385795.322987113,2405816.5599708348,22.305883512982508,114.1804203088675,86.56316349003464
-2418261.743847605,5385797.529947928,2405815.595825462,22.305866820856377,114.18042248426777,88.5285314284265
-2418260.797164029,5385799.471792112,2405815.538448607,22.30586159883198,114.18040638360945,89.78690824471414
-2418258.9698010315,5385800.212258913,2405814.6539949523,22.305854459689108,114.18038726170843,89.38366702664644
-2418255.8874438675,5385791.919584484,2405809.9300449574,22.305845249276924,114.18039293769318,79.42360791563988
-2418252.6459615426,5385786.682421984,2405805.860640402,22.305832176829288,114.180385058485,72.23052245937288
-2418247.882688446,5385786.407998541,2405803.5778054837,22.305820649748185,114.18034397810622,69.32737060077488
-2418244.3925386136,5385784.511869638,2405801.195201727,22.305811572454747,114.18032061586898,65.50010061264038
-2418240.798324827,5385782.776414081,2405798.4107642733,22.305798781618886,114.18029569356848,61.616487766616046
-2418240.7250645845,5385786.718693125,2405799.5433745347,22.305796020444678,114.18027937348914,65.3458819752559
-2418239.0656127995,5385789.191193941,2405798.831854203,22.305784674605885,114.18025485288717,66.53374717477709
-2418237.14427516,5385789.599099412,2405797.370844622,22.305773890204417,114.18023622093163,65.59538673982024
-2418235.5521128974,5385788.17942074,2405795.436189221,22.305764400940152,114.18022776835858,63.05952063109726
-2418234.877085303,5385789.325580688,2405794.8783850614,22.305757104490954,114.18021723580274,63.55935675278306
-2418232.422643206,5385777.110544137,2405786.679287261,22.305730242625064,114.18024406306017,49.207795151509345
-2418235.4078019257,5385779.532708554,2405788.6774214404,22.305735172006443,114.18026086335695,53.14173818565905
-2418234.195624173,5385777.046937344,2405787.6427041753,22.305736001500858,114.1802600129201,50.191660702228546
-2418233.3078198167,5385773.509610392,2405784.5351003073,22.305722345030635,114.18026621449229,45.690234567038715
-2418230.6214894396,5385770.597357442,2405781.7208529846,22.305711710032842,114.1802540080656,41.14614653587341
-2418231.7586216927,5385767.247871643,2405779.4429645627,22.30570155540287,114.18027739064215,37.885542921721935
-2418236.0562013015,5385764.682965006,2405779.14327268,22.305701037906744,114.1803256352602,37.235625692643225
-2418237.2391086733,5385759.185862241,2405778.0299923993,22.30570726427157,114.18035796048157,32.621812580153346
-2418237.5424762494,5385757.73425437,2405776.170194894,22.305695838961537,114.18036641685732,30.805739949457347
-2418242.1431367616,5385756.254405021,2405778.1807934684,22.30571080524829,114.18041303145807,32.06333803292364
-2418241.2723569246,5385754.500858695,2405776.1591242584,22.305700620081087,114.18041229285465,29.486036769114435
-2418248.1225928557,5385759.026096128,2405777.7991757207,22.305690555458266,114.1804549521255,36.523777100257576
-2418248.2188613503,5385763.610723979,2405775.464701756,22.305656580977328,114.18043757930525,39.54362918436527
-2418247.255390119,5385765.3067932455,2405775.908619436,22.30565633923883,114.18042230693514,40.77847743127495
-2418246.652544081,5385766.3537495285,2405775.5886901757,22.30565123903726,114.18041280774162,41.312222776934505
-2418242.52125329,5385761.24890056,2405771.8607396847,22.305641854614382,114.1803965246521,34.023209755308926
-2418239.4773415164,5385757.502273165,2405768.8337556017,22.305632553115785,114.18038446931594,28.558657369576395
-2418236.2665189933,5385752.040472856,2405766.8400038765,22.30563748143891,114.18037775448934,21.975410238839686
-2418239.124759804,5385764.531884109,2405774.627090962,22.30565947029236,114.18035340321684,36.55686669331044
-2418236.5270256638,5385758.267098118,2405772.3386968,22.30566358697806,114.18035530840133,29.416406829841435
-2418239.120520868,5385755.418224793,2405769.6161575355,22.305646107320317,114.18038959485993,26.961462028324604
-2418239.1372932834,5385756.025868727,2405770.5482645785,22.305651971395463,114.18038732780776,27.834447180852294
-2418239.051713004,5385763.468490927,2405774.873826175,22.305664959293964,114.18035698375962,35.725330729968846
-2418235.808534747,5385757.40978781,2405773.156894732,22.305674112256426,114.18035235529292,28.731104345060885
-2418234.8437791565,5385756.63253273,2405772.709488103,22.305674159044013,114.18034690364472,27.53968660067767
-2418235.6937701395,5385759.727280305,2405771.2160360105,22.30565081148084,114.18034212659512,29.906924442388117
-2418243.10812992,5385770.252286052,2405774.2442677584,22.30563279289329,114.18036592976105,42.74911488592625
-2418244.890230188,5385769.380776202,2405772.608636687,22.305619350540404,114.18038517197022,42.06810872070491
-2418248.250363683,5385770.786213383,2405773.861340038,22.30562070468863,114.18040933376024,45.003113591112196
-2418250.098778337,5385772.6094260765,2405774.4101016014,22.305616993611455,114.18041845085229,47.450659398920834
-2418251.3436072897,5385774.358013222,2405775.4309075014,22.305618307119936,114.18042252078526,49.7856489373371
-2418253.640070117,5385778.425376326,2405777.853580288,22.305622606203084,114.18042668355794,55.00828336644918
-2418256.1215855395,5385784.746420505,2405777.8386307843,22.305599232870662,114.18042352572638,61.27795618865639
-2418255.461485798,5385780.507226484,2405778.619179832,22.305619935970682,114.18043453344585,57.74618751741946
-2418256.85349386,5385781.992663413,2405778.787405898,22.30561474252374,114.18044095249388,59.59126013703644
-2418257.7015996734,5385782.935081914,2405778.693403178,22.305609819719436,114.18044471477906,60.672380363568664
-2418259.1243020473,5385783.826408737,2405778.77935383,22.30560575343961,114.18045376730782,61.996430134400725
-2418259.5732293227,5385787.0301623205,2405777.595321499,22.305585213404697,114.18044500612048,64.42112245503813
-2418257.777954114,5385782.779610636,2405779.0161017925,22.305612894727798,114.18044600881458,60.692577545531094
-2418256.081485621,5385782.227109021,2405779.4335623733,22.30562049183046,114.18043318559901,59.74181710463017
-2418255.3636941737,5385783.562618007,2405779.9892678186,22.305621966534943,114.1804215217056,60.80788511317223
-2418254.6163995187,5385785.024201894,2405780.8738055076,22.30562583577658,114.18040909543268,62.09398704580963
-2418253.991036984,5385785.038684404,2405781.3548767013,22.305630687719482,114.18040350126331,62.05181146040559
-2418253.2348011825,5385786.927559458,2405782.478827705,22.30563523371254,114.18038929724908,63.78602706361562
-2418253.0240206025,5385784.89182177,2405781.4741938384,22.305633501435935,114.1803955236742,61.60668487474322
-2418252.9745780793,5385783.921678662,2405780.954729991,22.305632264262456,114.18039894249605,60.5719881830737
-2418253.5393318348,5385783.816401879,2405780.7356958375,22.305629970570212,114.18040436100146,60.61402054969221
-2418254.0190892527,5385783.873164341,2405780.814832911,22.30562978070679,114.18040838285198,60.87377349752933
-2418254.757337644,5385784.524240899,2405780.86496729,22.305627127333988,114.18041233068581,61.722076481208205
-2418241.0014665797,5385768.507425735,2405778.370972921,22.3056756842398,114.18035421477605,42.0443949829787
-2418241.194585757,5385768.505873943,2405778.2167483955,22.305674129444235,114.18035593071681,42.05773414019495
-2418241.2810885264,5385768.659612503,2405778.0795505587,22.305672381026145,114.1803560854156,42.16819715127349
