towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
91603000,0.0,0,2390,1,1,2,1,0,15,0
91604000,0.0,0,2390,1,1,2,1,0,15,0
91605000,0.0,0,2390,1,1,2,1,0,15,0
91606000,0.0,0,2390,1,1,2,1,0,15,0
91607000,0.0,0,2390,1,1,2,1,0,15,0
91608000,0.0,0,2390,1,1,2,1,0,15,0
91609000,0.0,0,2390,1,1,2,1,0,15,0
91610000,0.0,0,2390,1,1,2,1,0,15,0
91611000,0.0,0,2390,1,1,2,1,0,15,0
91612000,0.0,0,2390,1,1,2,1,0,15,0
91613000,0.0,0,2390,1,1,2,1,0,15,0
91614000,0.0,0,2390,1,1,2,1,0,15,0
91615000,0.0,0,2390,1,1,2,1,0,15,0
91616000,0.0,0,2390,1,1,2,1,0,15,0
91617000,0.0,0,2390,1,1,2,1,0,15,0
91618000,0.0,0,2390,1,1,2,1,0,15,0
91619000,0.0,0,2390,1,1,2,1,0,15,0
91620000,0.0,0,2390,1,1,2,1,0,15,0
91621000,0.0,0,2390,1,1,2,1,0,15,0
91622000,0.0,0,2390,1,1,2,1,0,15,0
91623000,0.0,0,2390,1,1,2,1,0,15,0
91624000,0.0,0,2390,1,1,2,1,0,15,0
91625000,0.0,0,2390,1,1,2,1,0,15,0
91626000,0.0,0,2390,1,1,2,1,0,15,0
91627000,0.0,0,2390,1,1,2,1,0,15,0
91628000,0.0,0,2390,1,1,2,1,0,15,0
91629000,0.0,0,2390,1,1,2,1,0,15,0
91630000,0.0,0,2390,1,1,2,1,0,15,0
91631000,0.0,0,2390,1,1,2,1,0,15,0
91632000,0.0,0,2390,1,1,2,1,0,15,0
91633000,0.0,0,2390,1,1,2,1,0,15,0
91634000,0.0,0,2390,1,1,2,1,0,15,0
91635000,0.0,0,2390,1,1,2,1,0,15,0
91636000,0.0,0,2390,1,1,2,1,0,15,0
91637000,0.0,0,2390,1,1,2,1,0,15,0
91638000,0.0,0,2390,1,1,2,1,0,15,0
91639000,0.0,0,2390,1,1,2,1,0,15,0
91640000,0.0,0,2390,1,1,2,1,0,15,0
91641000,0.0,0,2390,1,1,2,1,0,15,0
91642000,0.0,0,2390,1,1,2,1,0,15,0
91643000,0.0,0,2390,1,1,2,1,0,15,0
91644000,0.0,0,2390,1,1,2,1,0,15,0
91645000,0.0,0,2390,1,1,2,1,0,15,0
91646000,0.0,0,2390,1,1,2,1,0,15,0
91647000,0.0,0,2390,1,1,2,1,0,15,0
91648000,0.0,0,2390,1,1,2,1,0,15,0
91649000,0.0,0,2390,1,1,2,1,0,15,0
91650000,0.0,0,2390,1,1,2,1,0,15,0
91651000,0.0,0,2390,1,1,2,1,0,15,0
91652000,0.0,0,2390,1,1,2,1,0,15,0
91653000,0.0,0,2390,1,1,2,1,0,15,0
91654000,0.0,0,2390,1,1,2,1,0,15,0
91655000,0.0,0,2390,1,1,2,1,0,15,0
91656000,0.0,0,2390,1,1,2,1,0,15,0
91657000,0.0,0,2390,1,1,2,1,0,15,0
91658000,0.0,0,2390,1,1,2,1,0,15,0
91659000,0.0,0,2390,1,1,2,1,0,15,0
91660000,0.0,0,2390,1,1,2,1,0,15,0
91661000,0.0,0,2390,1,1,2,1,0,15,0
91662000,0.0,0,2390,1,1,2,1,0,15,0
91663000,0.0,0,2390,1,1,2,1,0,15,0
91664000,0.0,0,2390,1,1,2,1,0,15,0
91665000,0.0,0,2390,1,1,2,1,0,15,0
91666000,0.0,0,2390,1,1,2,1,0,15,0
91667000,0.0,0,2390,1,1,2,1,0,15,0
91668000,0.0,0,2390,1,1,2,1,0,15,0
91669000,0.0,0,2390,1,1,2,1,0,15,0
91670000,0.0,0,2390,1,1,2,1,0,15,0
91671000,0.0,0,2390,1,1,2,1,0,15,0
91672000,0.0,0,2390,1,1,2,1,0,15,0
91673000,0.0,0,2390,1,1,2,1,0,15,0
91674000,0.0,0,2390,1,1,2,1,0,15,0
91675000,0.0,0,2390,1,1,2,1,0,15,0
91676000,0.0,0,2390,1,1,2,1,0,15,0
91677000,0.0,0,2390,1,1,2,1,0,15,0
91678000,0.0,0,2390,1,1,2,1,0,15,0
91679000,0.0,0,2390,1,1,2,1,0,15,0
91680000,0.0,0,2390,1,1,2,1,0,15,0
91681000,0.0,0,2390,1,1,2,1,0,15,0
91682000,0.0,0,2390,1,1,2,1,0,15,0
91683000,0.0,0,2390,1,1,2,1,0,15,0
