version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,91686000,-241820574.6,538576765.1,240576575.08,0,3247.0
0,0,91687000,-241820576.03,538576776.04,240576580.53,0,3240.6
0,0,91688000,-241820578.95,538576791.47,240576588.69,0,3232.3
0,0,91689000,-241820582.7,538576808.44,240576597.99,0,3222.6
0,0,91690000,-241820586.64,538576825.47,240576608.26,0,3209.5
0,0,91691000,-241820592.12,538576842.93,240576619.13,0,3198.9
0,0,91692000,-241820594.67,538576857.32,240576627.61,0,3192.5
0,0,91693000,-241820598.93,538576872.27,240576635.68,0,3185.9
0,0,91694000,-241820602.61,538576886.71,240576644.08,0,3177.4
0,0,91695000,-241820608.7,538576903.57,240576653.56,0,3169.2
0,0,91696000,-241820608.96,538576911.35,240576658.74,0,3162.1
0,0,91697000,-241820615.77,538576927.53,240576667.2,0,3153.4
0,0,91698000,-241820622.57,538576942.0,240576674.7,0,3145.1
0,0,91699000,-241820628.49,538576951.45,240576678.89,0,3140.0
0,0,91700000,-241820631.55,538576960.46,240576684.04,0,3133.8
0,0,91701000,-241820636.99,538576971.21,240576689.38,0,3126.9
0,0,91702000,-241820643.12,538576983.54,240576695.11,0,3119.1
0,0,91703000,-241820650.45,538576999.37,240576702.76,0,3111.6
0,0,91704000,-241820658.02,538577014.83,240576710.5,0,3106.8
0,0,91705000,-241820665.19,538577031.71,240576718.53,0,3096.6
0,0,91706000,-241820664.64,538577038.71,240576723.49,0,3082.5
0,0,91707000,-241820667.15,538577052.24,240576731.43,0,3062.4
0,0,91708000,-241820671.25,538577067.3,240576739.6,0,3043.0
0,0,91709000,-241820677.36,538577084.04,240576748.13,0,3025.5
0,0,91710000,-241820681.12,538577096.76,240576755.64,0,3006.8
0,0,91711000,-241820679.87,538577102.86,240576760.52,0,2990.3
0,0,91712000,-241820680.52,538577110.37,240576766.79,0,2974.3
0,0,91713000,-241820682.12,538577118.1,240576772.57,0,2959.3
0,0,91714000,-241820681.34,538577121.35,240576776.1,0,2942.3
0,0,91715000,-241820683.16,538577128.59,240576781.68,0,2924.2
0,0,91716000,-241820686.06,538577137.01,240576787.36,0,2906.8
0,0,91717000,-241820683.61,538577139.99,240576790.46,0,2891.3
