version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,91644000,13076,18840,37725,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91645000,12713,18448,37404,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91646000,12259,17896,36755,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91647000,11867,17413,36212,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91648000,11686,17237,36343,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91649000,11385,16871,36223,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91650000,11021,16404,35817,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91651000,10755,16044,35499,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91652000,10525,15748,35183,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91653000,10312,15458,34948,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91654000,10124,15205,34727,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91655000,10004,14979,34484,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91656000,9782,14437,33737,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91657000,9630,13970,33185,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91658000,9507,13535,32720,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91659000,9371,13145,32281,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91660000,9205,12755,31815,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91661000,9049,12394,31323,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91662000,8883,12035,30729,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91663000,8749,11719,30141,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91664000,8686,11644,29920,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91665000,8572,11503,29707,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91666000,8455,11254,29390,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91667000,8478,11116,29475,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91668000,8656,11095,30095,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91669000,8700,10960,30051,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91670000,8702,10855,30217,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91671000,8694,10742,30172,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91672000,8586,10530,29800,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91673000,8585,10461,29801,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91674000,8448,10244,29370,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91675000,8369,10116,29132,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91676000,8291,9991,28854,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91677000,8213,9864,28597,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91678000,8147,9746,28364,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91679000,8083,9622,28137,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91680000,8072,9584,28122,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91681000,7956,9411,27687,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91682000,7895,9309,27471,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91683000,7889,9279,27451,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91684000,7753,9118,27095,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91685000,7685,9051,27012,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91686000,7667,9046,27118,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91687000,7529,8893,26758,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91688000,7391,8745,26380,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91689000,7316,8669,26201,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91690000,7243,8588,25989,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91691000,7177,8513,25799,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91692000,7177,8517,25848,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91693000,7066,8389,25485,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91694000,7010,8325,25311,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91695000,6953,8264,25139,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91696000,6896,8205,24978,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91697000,6838,8142,24803,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91698000,6783,8081,24632,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91699000,6787,8093,24682,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91700000,6682,7981,24331,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91701000,6632,7932,24170,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91702000,6582,7881,24001,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91703000,6537,7829,23835,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91704000,6497,7782,23690,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91705000,6434,7717,23509,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91706000,6364,7609,23311,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91707000,6294,7483,23066,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91708000,6226,7363,22827,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91709000,6161,7258,22600,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91710000,6089,7160,22363,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91711000,6021,7074,22143,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91712000,5955,6991,21926,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91713000,5893,6912,21717,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91714000,5800,6799,21378,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91715000,5740,6721,21146,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91716000,5682,6642,20920,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,91717000,5626,6566,20711,0,0,0,0,0,0,0
